,Data,LDA_topic,LDA_topic_tfidf
101,how to activate miss call alert in idea,"0.259*""plan"" + 0.108*""milk"" + 0.102*""dairi"" + 0.073*""cadburi""","0.089*""transfer"" + 0.077*""link"" + 0.068*""stop"" + 0.064*""prime"""
102,how to activate miss call alerts,"0.259*""plan"" + 0.108*""milk"" + 0.102*""dairi"" + 0.073*""cadburi""","0.089*""transfer"" + 0.077*""link"" + 0.068*""stop"" + 0.064*""prime"""
103,how to activate missed call alert,"0.259*""plan"" + 0.108*""milk"" + 0.102*""dairi"" + 0.073*""cadburi""","0.089*""transfer"" + 0.077*""link"" + 0.068*""stop"" + 0.064*""prime"""
104,how to activate missed call alert services,"0.259*""plan"" + 0.108*""milk"" + 0.102*""dairi"" + 0.073*""cadburi""","0.089*""transfer"" + 0.077*""link"" + 0.068*""stop"" + 0.064*""prime"""
105,how to activate missed call alerts,"0.259*""plan"" + 0.108*""milk"" + 0.102*""dairi"" + 0.073*""cadburi""","0.089*""transfer"" + 0.077*""link"" + 0.068*""stop"" + 0.064*""prime"""
106,how to activate mp3 music,"0.167*""data"" + 0.113*""ideanumb"" + 0.108*""booster"" + 0.092*""network""","0.086*""voic"" + 0.071*""sign"" + 0.071*""password"" + 0.056*""appli"""
107,how to activate my,"0.160*""account"" + 0.159*""ideaphon"" + 0.130*""activ"" + 0.074*""internet""","0.150*""activ"" + 0.139*""ideaphon"" + 0.087*""internet"" + 0.071*""connect"""
108,how to activate my 148 plan,"0.259*""plan"" + 0.108*""milk"" + 0.102*""dairi"" + 0.073*""cadburi""","0.161*""idea"" + 0.124*""pack"" + 0.118*""plan"" + 0.117*""offer"""
109,how to activate my 17 gb data,"0.160*""account"" + 0.159*""ideaphon"" + 0.130*""activ"" + 0.074*""internet""","0.150*""activ"" + 0.139*""ideaphon"" + 0.087*""internet"" + 0.071*""connect"""
110,how to activate my 198 plan,"0.259*""plan"" + 0.108*""milk"" + 0.102*""dairi"" + 0.073*""cadburi""","0.161*""idea"" + 0.124*""pack"" + 0.118*""plan"" + 0.117*""offer"""
111,how to activate my 799 plan,"0.259*""plan"" + 0.108*""milk"" + 0.102*""dairi"" + 0.073*""cadburi""","0.161*""idea"" + 0.124*""pack"" + 0.118*""plan"" + 0.117*""offer"""
112,how to activate my account,"0.160*""account"" + 0.159*""ideaphon"" + 0.130*""activ"" + 0.074*""internet""","0.227*""voucher"" + 0.127*""redeem"" + 0.120*""myidea"" + 0.099*""account"""
113,how to activate my call,"0.160*""account"" + 0.159*""ideaphon"" + 0.130*""activ"" + 0.074*""internet""","0.150*""activ"" + 0.139*""ideaphon"" + 0.087*""internet"" + 0.071*""connect"""
114,how to activate my celebration,"0.211*""pack"" + 0.133*""idea"" + 0.122*""celebr"" + 0.069*""play""","0.161*""idea"" + 0.124*""pack"" + 0.118*""plan"" + 0.117*""offer"""
115,how to activate my celebration pack,"0.211*""pack"" + 0.133*""idea"" + 0.122*""celebr"" + 0.069*""play""","0.161*""idea"" + 0.124*""pack"" + 0.118*""plan"" + 0.117*""offer"""
116,how to activate my celebration pack 2 gb,"0.211*""pack"" + 0.133*""idea"" + 0.122*""celebr"" + 0.069*""play""","0.161*""idea"" + 0.124*""pack"" + 0.118*""plan"" + 0.117*""offer"""
